genre_name,songs_count,avg_energy,avg_tempo
deathcore,1041,94.52161383285302,126.99039385206532
metalcore,4469,91.23584694562543,129.8805101812486
thrash metal,2896,89.2282458563536,127.17541436464089
melodic death metal,1619,88.91290920321185,125.47313156269303
death metal,2508,88.57814992025519,124.71690590111643
hardcore,1434,87.30264993026499,127.56276150627615
post-hardcore,4384,85.34169708029196,131.06181569343065
screamo,880,84.31590909090909,127.66704545454546
power metal,1864,83.99624463519314,126.69581545064378
progressive metal,4117,83.59339324751032,126.2407092543114
